id,name,full_name,html_url,clone_url,description,language,created_at,updated_at,size,stargazers_count,forks_count,open_issues_count,license,topics,owner_login,is_fork,is_archived
13491895,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books.git,:books: Freely available programming books,Python,2013-10-11T06:50:37Z,2025-10-31T20:36:53Z,20714,375717,65272,213,cc-by-4.0,"['books', 'education', 'hacktoberfest', 'list', 'resource']",EbookFoundation,False,False
54346799,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,https://github.com/public-apis/public-apis.git,A collective list of free APIs,Python,2016-03-20T23:49:42Z,2025-10-31T20:41:48Z,4771,374909,39614,648,mit,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",public-apis,False,False
83222441,system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer.git,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,2017-02-26T16:15:28Z,2025-10-31T20:38:56Z,11240,324830,52965,513,other,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",donnemartin,False,False
21289110,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,https://github.com/vinta/awesome-python.git,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,2014-06-27T21:00:06Z,2025-10-31T20:43:47Z,6842,267196,26617,506,other,"['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",vinta,False,False
63476337,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,https://github.com/TheAlgorithms/Python.git,All Algorithms implemented in Python,Python,2016-07-16T09:44:01Z,2025-10-31T19:50:48Z,15619,212260,49089,697,mit,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",TheAlgorithms,False,False
614765452,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,2023-03-16T09:21:07Z,2025-10-31T19:58:29Z,295032,179394,46095,272,other,"['ai', 'artificial-intelligence', 'autonomous-agents', 'gpt-4', 'llama-api', 'openai', 'python']",Significant-Gravitas,False,False
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,Stable Diffusion web UI,Python,2022-08-22T14:05:26Z,2025-10-31T18:42:08Z,36441,157737,29266,2433,agpl-3.0,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",AUTOMATIC1111,False,False
155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers.git,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,2018-10-29T13:56:00Z,2025-10-31T19:44:46Z,391429,151902,31006,2116,apache-2.0,"['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",huggingface,False,False
1039520,youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git,Command-line program to download videos from YouTube.com and other video sites,Python,2010-10-31T14:35:07Z,2025-10-31T20:40:04Z,65432,138629,10522,4133,unlicense,[],ytdl-org,False,False
599320067,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,https://github.com/langflow-ai/langflow.git,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,2023-02-08T22:28:03Z,2025-10-31T20:08:50Z,942394,136773,7871,868,mit,"['agents', 'chatgpt', 'generative-ai', 'large-language-models', 'multiagent', 'react-flow']",langflow-ai,False,False
307260205,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp.git,A feature-rich command-line audio/video downloader,Python,2020-10-26T04:22:55Z,2025-10-31T20:39:21Z,57779,133373,10708,2166,unlicense,"['cli', 'downloader', 'python', 'sponsorblock', 'youtube-dl', 'youtube-downloader', 'yt-dlp']",yt-dlp,False,False
58028038,HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,2016-05-04T06:24:11Z,2025-10-31T20:32:09Z,8352,132704,10839,218,,"['awesome', 'github', 'hellogithub', 'python']",521xueweihan,False,False
